Codice_Turno,Nome_Turno,Deposito,Giorno,Turno_Ora_Inizio,Turno_Ora_Fine,Corsa_Linea,Corsa_Da,Corsa_A,Corsa_Ora_Partenza,Corsa_Ora_Arrivo
,,Torino - Deposito,Giovedì,06:05,14:34,268,Torino - Deposito ................................0...6..:..1..5..... C...a..s.e..l.l.e.. .A..e..r..o..p..o..r..t.o,To - piazza carlo felice .........................0..6...:.4...5.... .T..o.. .-. .p..i.a..z..z.a.. .c..a..r.l.o.. .f..e..l.ic..e,13:15,13:54
,,Torino - Deposito,Giovedì,06:05,14:34,268,To - piazza carlo felice ........................0..6...:.4...5.... .T..o.. .-. .p..i.a..z..z.a.. .c..a..r.l.o.. .f..e..l.i.c.e,Caselle Aeroporto ..............................0...7...:.3..0..... .T..o..r.i.n..o.. .-.. D...e..p..o..s..i.t.o,13:54,14:24
,,Torino - Deposito,Giovedì,06:05,14:34,268,Caselle Aeroporto,To - piazza carlo felice,07:45,09:45
,,Torino - Deposito,Giovedì,06:05,14:34,268,To - piazza carlo felice,Caselle Aeroporto,09:45,10:30
,,Torino - Deposito,Giovedì,06:05,14:34,268,Caselle Aeroporto,PAUSA 11:24 -,10:45,12:15
,,Torino - Deposito,Giovedì,06:20,15:04,268,Caselle Aeroporto,To - piazza carlo felice .........................0..7...:.0...0.... .T..o..r.i.n..o... .-. .D..e..p..o...s.i.t.o,13:45,14:54
,,Torino - Deposito,Giovedì,06:20,15:04,268,To - piazza carlo felice,Caselle Aeroporto,07:00,07:37
,,Torino - Deposito,Giovedì,06:20,15:04,268,Caselle Aeroporto,To - piazza carlo felice,08:00,11:00
,,Torino - Deposito,Giovedì,06:20,15:04,268,To - piazza carlo felice,Caselle Aeroporto,11:00,11:37
,,Torino - Deposito,Giovedì,06:20,15:04,268,Caselle Aeroporto,To - piazza carlo felice,12:00,12:45
,,Torino - Deposito,Giovedì,06:20,15:04,268,To - piazza carlo felice,Caselle Aeroporto,13:00,13:37
,,Torino - Deposito,Giovedì,11:20,18:25,268,To - piazza carlo felice,Caselle Aeroporto,12:00,12:37
,,Torino - Deposito,Giovedì,11:20,18:25,268,Caselle Aeroporto,To - piazza carlo felice,13:00,13:45
,,Torino - Deposito,Giovedì,11:20,18:25,268,To - piazza carlo felice,Caselle Aeroporto,14:00,14:37
,,Torino - Deposito,Giovedì,11:20,18:25,268,Caselle Aeroporto,To - piazza carlo felice,15:00,15:45
,,Torino - Deposito,Giovedì,11:20,18:25,268,To - piazza carlo felice,Caselle Aeroporto,16:00,16:37
,,Torino - Deposito,Giovedì,11:20,18:25,268,Caselle Aeroporto,Caselle - Parcheggio P,17:00,18:15
,,Torino - Deposito,Giovedì,12:50,19:55,268,To - piazza carlo felice,Caselle Aeroporto,13:30,14:15
,,Torino - Deposito,Giovedì,12:50,19:55,268,Caselle Aeroporto,To - piazza carlo felice,14:30,15:15
,,Torino - Deposito,Giovedì,12:50,19:55,268,To - piazza carlo felice,Caselle Aeroporto,15:30,16:07
,,Torino - Deposito,Giovedì,12:50,19:55,268,Caselle Aeroporto,To - piazza carlo felice,16:30,17:15
,,Torino - Deposito,Giovedì,12:50,19:55,268,To - piazza carlo felice,Caselle Aeroporto,17:30,18:15
,,Torino - Deposito,Giovedì,12:50,19:55,268,Caselle Aeroporto,Torino - Deposito,18:30,19:45
,,Torino - Deposito,Giovedì,16:35,01:25,268,To - piazza carlo felice,Caselle Aeroporto,17:15,18:00
,,Torino - Deposito,Giovedì,16:35,01:25,268,Caselle Aeroporto,To - piazza carlo felice,18:15,18:54
,,Torino - Deposito,Giovedì,16:35,01:25,268,To - piazza carlo felice,PAUSA 20:05 -,19:20,21:30
