Corsa,Codice corsa,Codice linea,Partenza,Ora partenza,Arrivo,Ora arrivo,Flag spezzata,Turno
28795,046A,281,PINEROLO - Ist. Immacolata,7:35:00,PONTE SAN MARTINO,7:50:00,FALSE,Pi0300
29112,115A,281,PONTE SAN MARTINO,7:55:00,Pinerolo Centro Studi (C.Torino/Rochis),8:10:00,FALSE,Pi0300
28637,131FB,275,Pinerolo Bivio Sede SAPAV,10:23:00,TORINO - Autostazione c.so Bolzano,11:19:00,TRUE,Pi0300
28823,22134N,119,TO - Corso Vercelli-Via Cuorgnè,12:15:00,TO - Corso Belgio,12:37:00,FALSE,Pi0300
28824,22134N,277,TO - Corso Belgio,12:37:00,AIRASCA - stabilimento SKF,13:55:00,FALSE,Pi0300
29045,2225B,281,PINEROLO - Ist. Immacolata,16:05:00,VIRLE PIEMONTE - via Carignano,16:50:00,FALSE,Pi0300
29679,2210,281,PINEROLO - stazione FS,6:50:00,SCALENGHE - via Cavour,7:10:00,FALSE,Pi0370
29685,2212,281,SCALENGHE - via Cavour,7:15:00,Pinerolo Via Saluzzo ENEL,7:45:00,FALSE,Pi0370
28334,3,703,Pinerolo Frazione Riva (Domarossa),8:20:00,PIN - Fiugera,8:47:00,FALSE,Pi0370
28338,2,703,PIN - Fiugera,9:00:00,Pinerolo Frazione Riva (Domarossa),9:30:00,FALSE,Pi0370
28335,5,703,Pinerolo Frazione Riva (Domarossa),9:30:00,PIN - Fiugera,9:57:00,FALSE,Pi0370
29156,4,703,PIN - Fiugera,10:00:00,Pinerolo Frazione Riva (Domarossa),10:30:00,FALSE,Pi0370
28328,7,703,Pinerolo Frazione Riva (Domarossa),10:30:00,PIN - Fiugera,10:57:00,FALSE,Pi0370
29154,6,703,PIN - Fiugera,11:00:00,Pinerolo Frazione Riva (Domarossa),11:30:00,FALSE,Pi0370
28489,008A,275,Pinerolo Bivio Sede SAPAV,5:11:00,Villar Perosa Stabilimento SKF,5:35:00,FALSE,Pi0470
29776,029A,275,Villar Perosa Stabilimento SKF,6:05:00,SAN SECONDO bivio BIMA,6:25:00,FALSE,Pi0470
29785,22081,284,SAN SECONDO bivio BIMA,6:25:00,TORRE PELLICE,6:45:00,FALSE,Pi0470
28739,22012,284,TORRE PELLICE,6:50:00,Bivio Bima,7:10:00,FALSE,Pi0470
28179,032A,275,Bivio Bima,7:10:00,Villar Perosa Stabilimento SKF,7:30:00,FALSE,Pi0470
28313,042A,281,VILLAR PEROSA - via Nazionale,7:30:00,PEROSA ARG.-Pzza Terzo Alpini,7:40:00,FALSE,Pi0470
28525,097A,275,PEROSA ARG.-Pzza Terzo Alpini,7:40:00,PINEROLO Centro Studi,8:10:00,FALSE,Pi0470
28296,101,701,MACELLO - Municipio,9:25:00,S.Pietro Val Lemina - via Europa fr 61,10:03:00,FALSE,Pi0470
29557,110A,701,S.Pietro Val Lemina - via Europa 61,10:10:00,MACELLO - Municipio,10:50:00,FALSE,Pi0470
29696,2223,281,PINEROLO - Ist. Immacolata,13:30:00,OSASIO - piazza Castello,14:17:00,FALSE,Pi0500
28108,2230,281,OSASIO - piazza Castello,14:20:00,PINEROLO - Fronte Stazione FS,15:01:00,FALSE,Pi0500
28118,RP323,901,PINEROLO - movicentro,15:50:00,TORRE PELLICE,16:25:00,FALSE,Pi0500
28138,RPN14,901,TORRE PELLICE,16:35:00,PINEROLO - movicentro,17:10:00,FALSE,Pi0500
28327,21,703,Pinerolo Frazione Riva (Domarossa),18:50:00,PIN - Fiugera,19:17:00,FALSE,Pi0500
29153,22,703,PIN - Fiugera,19:20:00,Pinerolo Frazione Riva (Domarossa),19:50:00,FALSE,Pi0500
28624,263B,275,PINEROLO - Piazza Cavour,20:10:00,TORINO - Autostazione c.so Bolzano,21:19:00,FALSE,Pi0500
28703,276B,282,TORINO - Autostazione c.so Bolzano,21:41:00,PINEROLO - movicentro,22:52:00,FALSE,Pi0500
28161,30019,283,CANTALUPA,6:15:00,PINEROLO - Piazza Cavour,6:40:00,FALSE,Pi0540
28477,30012,283,PINEROLO - Piazza Cavour,6:45:00,CANTALUPA,7:05:00,FALSE,Pi0540
29698,30020,283,CANTALUPA,7:10:00,PINEROLO - Piazza Cavour,7:45:00,FALSE,Pi0540
28686,053B,282,Pinerolo Centro Studi (C.Torino/Rochis),7:50:00,TORINO - Autostazione c.so Bolzano,8:57:00,TRUE,Pi0540
28651,N10,275,TORINO - Autostazione c.so Bolzano,9:41:00,Pinerolo Bivio Sede SAPAV,10:38:00,TRUE,Pi0540
29674,21054,279,PINEROLO Centro Studi,13:30:00,BIBIANA Centro,13:57:00,FALSE,Pi0540
